id,city,country,region,short_description,latitude,longitude,avg_temp_monthly,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,Alcohol-free,Halal-friendly,Safe,budget_numeric,short_trip,weekend,long_trip,one_week,day_trip,avg_temp_summer,avg_temp_winter,family_friendly,airport_closeness,nearest_airport,distance_to_airport_km,cluster
c54acf38-3029-496b-8c7a-8343ad82785c,Milan,Italy,Europe,"Chic streets lined with fashion boutiques, historic architecture, and lively piazzas create a sophisticated yet welcoming atmosphere, perfect for leisurely exploration.",45.4641943,9.1896346,20.0,Luxury,100,40,40,20,80,100,60,100,40,0,0,0,3,1,0,0,1,0,24.83333333333333,5.166666666666667,0,5,Milano Linate Airport,7.118300765710827,0
0bd12654-ed64-424e-a044-7bc574bcf078,Yasawa Islands,Fiji,Oceania,"Crystal-clear waters, secluded beaches, and vibrant coral reefs create a serene paradise perfect for unwinding and immersing in natural beauty.",-17.2909471,177.12578580330327,20.0,Luxury,40,80,100,100,40,60,80,20,100,0,0,0,3,0,0,1,1,0,25.933333333333334,28.066666666666663,0,2,Nadi International Airport,61.63190802138647,1
73036cda-9134-46fc-a2c6-807782d59dfb,Whistler,Canada,North_America,"Snow-capped peaks and lush forests create a serene escape, where outdoor adventures meet cozy village vibes and crisp mountain air.",50.1171903,-122.9543022,20.0,Luxury,60,100,100,40,60,60,80,40,80,0,0,1,3,1,1,0,1,0,16.7,-2.033333333333333,0,1,Pitt Meadows Airport,101.72756943487342,1
3872c9c0-6b6e-49e1-9743-f46bfe591b86,Guanajuato,Mexico,North_America,"Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement.",20.9876996,-101.0,20.0,Mid-range,100,60,60,20,60,80,60,80,40,0,0,0,2,1,1,0,1,0,21.166666666666668,15.866666666666667,1,3,Del Bajío International Airport,49.86434607695673,0
e1ebc1b6-8798-422d-847a-22016faff3fd,Surabaya,Indonesia,Asia,"Bustling streets filled with the aroma of local spices, vibrant markets, and a rich cultural tapestry invite exploration and discovery.",-7.2459717,112.7378266,20.0,Budget,80,60,60,40,60,80,60,80,40,1,1,1,1,1,1,0,0,0,28.433333333333334,28.2,1,4,Juanda International Airport,15.841737739071409,0
26bd92cc-1bd7-46bc-a132-9c227115194a,Nuuk,Greenland,North_America,"Rugged landscapes meet the calm of icy fjords, where the crisp air and vibrant local culture create a unique Arctic charm.",64.1766835,-51.7359356,20.0,Luxury,60,80,100,40,40,60,40,40,100,0,0,0,3,1,0,0,1,0,6.766666666666667,-6.933333333333334,0,5,Nuuk Airport,3.181432921352547,1
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,Windhoek,Namibia,Africa,"A blend of modernity and tradition, with bustling markets, German colonial architecture, and the vast Namibian landscape providing a unique backdrop.",-22.53356015,17.045477525861745,20.0,Mid-range,60,80,80,20,60,60,60,60,80,0,0,0,2,1,1,0,1,0,15.9,24.066666666666663,0,5,Eros Airport,9.450978181388033,1
0dae5759-947a-40c9-aaea-e2e647f1061e,Kingston,Jamaica,North_America,"Vibrant streets pulse with reggae rhythms, while lush hills and beaches offer a serene escape, creating a captivating blend of energy and tranquility.",17.9712148,-76.7928128,20.0,Mid-range,80,60,60,60,80,80,60,60,40,0,0,0,2,1,0,0,1,0,29.7,27.133333333333336,0,5,Tinson Pen Airport,3.8049169527375866,0
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,Nafplio,Greece,Europe,"Charming cobblestone streets, vibrant bougainvillea, and the gentle sea breeze create a serene atmosphere perfect for leisurely exploration and relaxation.",37.5659229,22.8068782,20.0,Mid-range,80,60,80,60,60,80,60,60,80,0,0,0,2,1,1,0,0,1,27.23333333333333,8.733333333333333,1,2,Elefsis Air Base,85.99513997951733,0
b78d096a-87d0-4010-baac-e4879cab6aa9,Tbilisi,Georgia,Asia,"Cobblestone streets wind through eclectic neighborhoods, where vibrant markets and ancient architecture create a welcoming blend of history and modern charm.",41.6934591,44.8014495,20.0,Budget,80,60,60,20,60,80,60,60,60,0,0,0,1,1,1,0,1,0,25.133333333333336,4.366666666666666,1,4,Tbilisi Soganlug Air Base,12.24179824852823,0
